id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
40,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
41,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
44,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
45,42 Draconis b,296,3.88 Jupiters,4.8262,2008
46,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
47,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
48,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
49,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
50,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
51,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
52,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
53,14 Herculis b,58,8.053 Jupiters,6.61935,2002
54,16 Cygni B b,69,1.78 Jupiters,6.215,1996
55,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
56,18 Delphini b,249,9.207 Jupiters,5.51048,2008
57,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
58,24 Bootis b,313,0.883 Jupiters,5.59,2018
59,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
60,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
61,2M0437 b,419,4 Jupiters,16.186,2021
62,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
63,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
64,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
65,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
66,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
67,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
68,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
69,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
70,42 Draconis b,296,3.88 Jupiters,4.8262,2008
71,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
72,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
73,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
74,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
75,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
76,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
77,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
78,14 Herculis b,58,8.053 Jupiters,6.61935,2002
79,16 Cygni B b,69,1.78 Jupiters,6.215,1996
80,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
81,18 Delphini b,249,9.207 Jupiters,5.51048,2008
82,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
83,24 Bootis b,313,0.883 Jupiters,5.59,2018
84,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
85,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
86,2M0437 b,419,4 Jupiters,16.186,2021
87,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
88,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
89,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
90,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
91,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
92,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
93,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
94,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
95,42 Draconis b,296,3.88 Jupiters,4.8262,2008
96,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
97,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
98,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
99,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
100,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
101,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
102,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
103,14 Herculis b,58,8.053 Jupiters,6.61935,2002
104,16 Cygni B b,69,1.78 Jupiters,6.215,1996
105,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
106,18 Delphini b,249,9.207 Jupiters,5.51048,2008
107,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
108,24 Bootis b,313,0.883 Jupiters,5.59,2018
109,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
110,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
111,2M0437 b,419,4 Jupiters,16.186,2021
112,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
113,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
114,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
115,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
116,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
117,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
118,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
119,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
120,42 Draconis b,296,3.88 Jupiters,4.8262,2008
121,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
122,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
123,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
124,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
125,11 Comae Berenices b,304,15.464 Jupiters,4.72307,2007
126,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
127,14 Andromedae b,246,3.559 Jupiters,5.23133,2008
128,14 Herculis b,58,8.053 Jupiters,6.61935,2002
129,16 Cygni B b,69,1.78 Jupiters,6.215,1996
130,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
131,18 Delphini b,249,9.207 Jupiters,5.51048,2008
132,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
133,24 Bootis b,313,0.883 Jupiters,5.59,2018
134,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
135,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
136,2M0437 b,419,4 Jupiters,16.186,2021
137,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
138,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
139,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
140,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
141,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
142,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
143,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
144,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
145,42 Draconis b,296,3.88 Jupiters,4.8262,2008
146,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
147,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
148,47 Ursae Majoris d,45,1.64 Jupiters,5.037,2009
149,4 Ursae Majoris b,240,7.902 Jupiters,4.5801,2006
150,51 Eridani b,97,2 Jupiters,5.21149,2015
151,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
152,55 Cancri b,41,0.8306 Jupiters,5.96,1996
153,55 Cancri c,41,0.1714 Jupiters,5.96,2004
154,55 Cancri d,41,3.878 Jupiters,5.96,2002
155,55 Cancri e,41,7.99 Earths,5.96,2004
156,55 Cancri f,41,0.141 Jupiters,5.96,2007
157,61 Virginis b,28,5.1 Earths,4.735,2009
158,61 Virginis c,28,18.2 Earths,4.735,2009
159,61 Virginis d,28,22.9 Earths,4.735,2009
160,6 Lyncis b,178,1.881 Jupiters,5.87307,2008
161,70 Virginis b,58,7.49 Jupiters,4.96808,1996
162,75 Ceti b,271,2.479 Jupiters,5.3532,2012
163,75 Ceti c,271,0.912 Jupiters,5.3532,2023
164,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
165,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
166,81 Ceti b,330,3.307 Jupiters,5.64307,2008
167,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
168,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
169,AB Aurigae b,529,9 Jupiters,7.076,2022
170,AB Pictoris b,163,13.5 Jupiters,9.13,2005
171,AF Leporis b,88,3.2 Jupiters,6.332,2023
172,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
173,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
174,AU Microscopii b,32,20.12 Earths,8.81,2020
175,AU Microscopii c,32,9.6 Earths,8.81,2021
176,b Centauri AB b,320,10.9 Jupiters,4.01,2021
177,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
178,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
179,BD-06 1339 b,66,8.5 Earths,9.7,2013
180,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
181,BD-08 2823 b,135,12.7132 Earths,9.86,2009
182,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
183,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
184,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
185,BD-11 4672 c,89,15.37 Earths,10.03,2020
186,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
187,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
188,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
189,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
190,BD-17 63 b,112,5.1 Jupiters,9.62,2008
191,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
192,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
193,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
194,BD+20 594 b,585,22.2481 Earths,10.849,2016
195,BD-210397 b,77,0.7 Jupiters,9.84,2023
196,BD-210397 c,77,4.8 Jupiters,9.84,2023
197,BD+45 564 b,175,1.36 Jupiters,9.67,2021
198,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
199,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
200,AU Microscopii c,32,9.6 Earths,8.81,2021
201,b Centauri AB b,320,10.9 Jupiters,4.01,2021
202,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
203,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
204,BD-06 1339 b,66,8.5 Earths,9.7,2013
205,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
206,BD-08 2823 b,135,12.7132 Earths,9.86,2009
207,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
208,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
209,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
210,BD-11 4672 c,89,15.37 Earths,10.03,2020
211,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
212,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
213,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
214,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
215,BD-17 63 b,112,5.1 Jupiters,9.62,2008
216,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
217,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
218,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
219,BD+20 594 b,585,22.2481 Earths,10.849,2016
220,BD-210397 b,77,0.7 Jupiters,9.84,2023
221,BD-210397 c,77,4.8 Jupiters,9.84,2023
222,BD+45 564 b,175,1.36 Jupiters,9.67,2021
223,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
224,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
225,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
226,CT Chamaleontis b,622,17 Jupiters,12.335,2007
227,DE Canum Venaticorum b,100,12.0293 Jupiters,12.956,2018
228,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,,2013
229,DH Tauri b,440,11 Jupiters,13.98,2004
230,DMPP-1 b,204,24.27 Earths,7.98,2019
231,DMPP-1 c,204,9.6 Earths,7.98,2019
232,DMPP-1 d,204,3.35 Earths,7.98,2019
233,DMPP-1 e,204,4.13 Earths,7.98,2019
234,DMPP-2 b,450,0.437 Jupiters,8.57,2019
235,DMPP-3 A b,148,2.58 Earths,9.066,2019
236,DMPP-4 b,83,12.2 Earths,5.72936,2023
237,DP Leonis b,997,6.28 Jupiters,18.6837,2009
238,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
239,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
240,EPIC 201238110 b,520,4.16 Earths,16.014,2019
241,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
242,EPIC 201497682 b,825,0.26 Earths,13.948,2019
243,EPIC 201595106 b,757,2.24 Earths,11.746,2021
244,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
245,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
246,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
247,EPIC 201833600 c,840,0.972 Earths,14.705,2019
248,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
249,EPIC 205950854 c,796,2.27 Earths,12.365,2019
